,Дата,Адрес,Оксид углерода,Оксид азота,Диоксид азота,Диоксид серы,Озон,Взвешенные частицы PM10,Взвешенные частицы PM2.5,lon,lat
44,18_07_2019,"Россия, Санкт-Петербург, улица Пестеля, дом 1",0.1,0.1,0.7,,0.6,0.2,,30.34212,59.94235
45,19_07_2019,"Россия, Санкт-Петербург, Московский проспект, дом 19",0.1,0.2,0.5,0.05,,,,30.31976,59.87203
46,19_07_2019,"Россия, Санкт-Петербург, Средний проспект, дом 74",0.1,0.1,0.3,,0.3,,0.2,30.28547,59.94592
47,19_07_2019,"Россия, Санкт-Петербург, проспект КИМа, дом 26 лит. А",0.1,0.3,0.5,0.1,,,,30.24221,59.95332
48,19_07_2019,"Россия, Санкт-Петербург, улица Карбышева, дом 7",0.1,0.2,0.4,,,0.2,,30.35872,59.99687
49,19_07_2019,"Россия, Санкт-Петербург, улица Ольги Форш, дом 6",0.1,0.2,0.4,,0.4,0.1,,30.39148,60.04297
50,19_07_2019,"Россия, город Колпино, Красная улица, дом 1а",0.1,0.4,0.2,0.1,,0.4,,30.60285,59.74381
51,19_07_2019,"Россия, поселок Металлострой, Железнодорожная улица, дом 13",0.1,0.2,0.4,0.05,0.2,0.2,,30.56708,59.81286
52,19_07_2019,"Россия, Санкт-Петербург, Малоохтинский проспект, дом 98",0.1,0.1,0.3,0.05,0.7,0.1,,30.40106,59.93159
53,19_07_2019,"Россия, Санкт-Петербург, Индустриальный проспект, д.64",0.1,0.2,0.4,0.1,,0.1,,30.47274,59.94882
54,19_07_2019,"Россия, Санкт-Петербург, Уткин проспект, д.16",0.1,0.1,0.4,0.05,,0.1,,30.42562,59.93601
55,19_07_2019,"Россия, Санкт-Петербург, Волхонское шоссе, д.116, корп. 3",0.1,0.2,0.3,,0.1,0.05,,30.17530,59.79351
56,19_07_2019,"Россия, город Кронштадт, улица Ильмянинова, дом 4",0.1,0.1,0.4,,0.8,0.1,,29.78242,59.99420
57,19_07_2019,"Россия, город Сестрорецк, улица Максима Горького, дом 2",0.1,0.05,0.1,0.05,0.7,,0.2,29.95995,60.10023
58,19_07_2019,"Россия, Санкт-Петербург, улица Севастьянова, дом 11",0.1,0.05,0.2,,1.3,,0.2,30.32940,59.87366
59,19_07_2019,"Россия, Санкт-Петербург, улица Тельмана, дом 24",0.1,0.1,0.5,0.05,,,0.3,30.47909,59.89227
60,19_07_2019,"Россия, Санкт-Петербург, улица Профессора Попова, дом 48",0.2,0.3,0.5,0.05,,0.2,,30.31338,59.97130
61,19_07_2019,"Россия, город Ломоносов, улица Федюнинского, дом 3",0.1,0.3,0.5,0.05,,,0.3,29.79709,59.89314
62,19_07_2019,"Россия, Санкт-Петербург, улица Новосельковская, дом 23",0.1,0.05,0.1,0.05,,0.2,,29.84899,59.88138
63,19_07_2019,"Россия, город Пушкин, Тиньков переулок, дом 4",0.1,0.05,0.2,0.05,0.5,0.1,,30.37507,59.69893
64,19_07_2019,"Россия, Санкт-Петербург, Малая Балканская улица, дом 54",0.1,0.2,0.6,,1.0,0.2,,30.38049,59.83133
65,19_07_2019,"Россия, Санкт-Петербург, Шпалерная улица, дом 56",0.1,0.2,0.5,0.05,0.5,0.2,,30.37475,59.94920
66,19_07_2019,"Россия, Санкт-Петербург, улица Пестеля, дом 1",0.1,0.4,0.6,,0.1,0.2,,30.34212,59.94235
67,17_07_2019,"Россия, Санкт-Петербург, Московский проспект, дом 19",0.1,0.1,0.8,0.05,,,,30.31976,59.87203
68,17_07_2019,"Россия, Санкт-Петербург, Средний проспект, дом 74",0.1,0.05,0.7,,0.7,,0.3,30.28547,59.94592
69,17_07_2019,"Россия, Санкт-Петербург, проспект КИМа, дом 26 лит. А",0.1,0.2,0.8,0.1,,,,30.24221,59.95332
70,17_07_2019,"Россия, Санкт-Петербург, улица Карбышева, дом 7",0.1,0.2,0.8,,,0.2,,30.35872,59.99687
71,17_07_2019,"Россия, Санкт-Петербург, улица Ольги Форш, дом 6",0.1,0.1,0.7,,0.8,0.1,,30.39148,60.04297
72,17_07_2019,"Россия, город Колпино, Красная улица, дом 1а",0.1,0.1,0.3,0.1,,0.5,,30.60285,59.74381
73,17_07_2019,"Россия, поселок Металлострой, Железнодорожная улица, дом 13",0.1,0.2,0.6,0.05,0.5,0.2,,30.56708,59.81286
74,17_07_2019,"Россия, Санкт-Петербург, Малоохтинский проспект, дом 98",0.05,0.1,0.4,0.05,1.1,0.1,,30.40106,59.93159
75,17_07_2019,"Россия, Санкт-Петербург, Индустриальный проспект, д.64",0.1,0.1,0.5,0.05,,0.1,,30.47274,59.94882
76,17_07_2019,"Россия, Санкт-Петербург, Уткин проспект, д.16",0.1,0.05,0.6,0.1,,0.1,,30.42562,59.93601
77,17_07_2019,"Россия, Санкт-Петербург, Волхонское шоссе, д.116, корп. 3",0.1,0.1,0.4,,0.6,0.05,,30.17530,59.79351
78,17_07_2019,"Россия, город Кронштадт, улица Ильмянинова, дом 4",0.1,0.3,0.9,,0.7,0.2,,29.78242,59.99420
79,17_07_2019,"Россия, город Сестрорецк, улица Максима Горького, дом 2",0.1,0.1,0.3,0.05,1.3,,0.3,29.95995,60.10023
80,17_07_2019,"Россия, Санкт-Петербург, улица Севастьянова, дом 11",0.1,0.05,0.2,,1.4,,0.3,30.32940,59.87366
81,17_07_2019,"Россия, Санкт-Петербург, улица Тельмана, дом 24",0.1,0.05,0.9,0.1,,,0.3,30.47909,59.89227
82,17_07_2019,"Россия, Санкт-Петербург, улица Профессора Попова, дом 48",0.2,0.4,1.0,0.05,,0.2,,30.31338,59.97130
83,17_07_2019,"Россия, город Ломоносов, улица Федюнинского, дом 3",0.1,0.1,0.8,0.05,,,0.3,29.79709,59.89314
84,17_07_2019,"Россия, Санкт-Петербург, улица Новосельковская, дом 23",0.1,0.1,0.3,0.1,,0.4,,29.84899,59.88138
85,17_07_2019,"Россия, город Пушкин, Тиньков переулок, дом 4",0.1,0.05,0.4,0.05,0.9,0.1,,30.37507,59.69893
86,17_07_2019,"Россия, Санкт-Петербург, Малая Балканская улица, дом 54",0.1,0.1,0.6,,1.1,0.2,,30.38049,59.83133
87,17_07_2019,"Россия, Санкт-Петербург, Шпалерная улица, дом 56",0.1,0.2,0.9,0.05,0.7,0.2,,30.37475,59.94920
88,17_07_2019,"Россия, Санкт-Петербург, улица Пестеля, дом 1",0.1,0.1,0.9,,0.3,0.2,,30.34212,59.94235
